ANIO_PERIODO,CODIGO_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,NOMBRE_FILIAL,NOMBRE_PROGRAMA,CODIGO_CLASE_CINE_N2,NOMBRE_CLASE_CINE_N2,CANTIDAD_CARNES
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,"S.E.ANESTECIA,ANALGESIA Y REANIMACION",99,POSGRADO,25
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E.CIRUGIA DE TORAX Y CARDIOVASCULAR,99,POSGRADO,3
2016,002,UNIV. NACIONAL SAN CRISTOBAL DE HUAMANGA,UNSCH-SEDE PRINCIPAL,EDUCACION FISICA,15,EDUCACIÓN FÍSICA,167
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,[NO ESPECIFICADO],EDUCACION,11,EDUCACIÓN INICIAL Y PRIMARIA,1
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-ANDAHUAYLAS,INGENIERIA AGROPECUARIA,81,AGRICULTURA,160
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,DERECHO PENAL Y PROCESAL PENAL,99,POSGRADO,38
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,EDUCACIÓN SUPERIOR,99,POSGRADO,25
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,GESTIÓN DEL PATRIMONIO CULTURAL CENTROS Y SITIOS HISTÓRICOS,99,POSGRADO,31
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,GESTIÓN PÚBLICA Y DESARROLLO REGIONAL,99,POSGRADO,73
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-HUAMACHUCO,INGENIERIA AGROINDUSTRIAL,81,AGRICULTURA,168
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-HUAMACHUCO,INGENIERIA DE MINAS,72,INDUSTRIA Y PRODUCCIÓN,183
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,ECONOMIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,592
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,MICROBIOLOGIA Y PARASITOLOGIA,51,CIENCIAS BIOLÓGICAS Y AFINES,294
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-VALLE JEQUETEPEQUE,INGENIERIA INDUSTRIAL,72,INDUSTRIA Y PRODUCCIÓN,199
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,FINANZAS,41,ADMINISTRACIÓN Y COMERCIO,278
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,FISICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,332
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,SOCIOLOGIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,430
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,TURISMO Y HOTELERIA,01,SERVICIOS PERSONALES,554
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,[NO ESPECIFICADO],ARQUITECTURA,73,ARQUITECTURA Y CONSTRUCCIÓN,6
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,ING. DE TELECOMUNICACIONES,61,INFORMÁTICA,462
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,ING. GEOLOGICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,310
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,ING. MECATRONICA,71,INGENIERÍA Y PROFESIONES AFINES,426
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,PGFAUA,99,POSGRADO,33
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,PGFIC,99,POSGRADO,151
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,CIENCIA ANIMAL,99,POSGRADO,44
